recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R013,Gravity,True,5209,0.091088623046875,52.38585986328125,52.294771240234375,99.59151915969949,0.010038818359376478,0.010043212890622044,1.000218829021326,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R014,Accelerometer,True,5189,0.05798681640625,52.15054223632813,52.09255541992188,99.59151915970389,0.010039550781250739,0.010042480468751336,1.0001458860146006,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,smooth
R014,Gyroscope,True,5189,0.05798681640625,52.15054223632813,52.09255541992188,99.59151915970389,0.010039550781250739,0.010042480468751336,1.0001458860146006,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,smooth
R014,Gravity,True,5189,0.05798681640625,52.15054223632813,52.09255541992188,99.59151915970389,0.010039550781250739,0.010042480468751336,1.0001458860146006,0,0,0,0,0,0,3.3906250261443727e-07,True,P02,smooth
R015,Accelerometer,True,4462,0.058109619140625,44.85419970703125,44.796090087890626,99.58183409514902,0.010040283203125,0.010042968749999659,1.0000972478852321,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R015,Gyroscope,True,4462,0.058109619140625,44.85419970703125,44.796090087890626,99.58183409514902,0.010040283203125,0.010042968749999659,1.0000972478852321,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R015,Gravity,True,4462,0.058109619140625,44.85419970703125,44.796090087890626,99.58183409514902,0.010040283203125,0.010042968749999659,1.0000972478852321,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R016,Accelerometer,True,5057,0.06069775390625,50.83090698242187,50.770209228515625,99.58425518466856,0.010039794921873124,0.010043701171881025,1.0001945004991548,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R016,Gyroscope,True,5057,0.06069775390625,50.83090698242187,50.770209228515625,99.58425518466856,0.010039794921873124,0.010043701171881025,1.0001945004991548,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R016,Gravity,True,5057,0.06069775390625,50.83090698242187,50.770209228515625,99.58425518466856,0.010039794921873124,0.010043701171881025,1.0001945004991548,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R017,Accelerometer,True,4121,0.06185693359375,41.43247241210938,41.370615478515624,99.58909771693962,0.010040039062499062,0.01004321289062493,1.0001945099564737,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R017,Gyroscope,True,4121,0.06185693359375,41.43247241210938,41.370615478515624,99.58909771693962,0.010040039062499062,0.01004321289062493,1.0001945099564737,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R017,Gravity,True,4121,0.06185693359375,41.43247241210938,41.370615478515624,99.58909771693962,0.010040039062499062,0.01004321289062493,1.0001945099564737,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R018,Accelerometer,True,4592,0.06042578125,46.1624365234375,46.1020107421875,99.58183409511379,0.01004052734375449,0.010042968749999992,1.0000972478849115,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R018,Gyroscope,True,4592,0.06042578125,46.1624365234375,46.1020107421875,99.58183409511379,0.01004052734375449,0.010042968749999992,1.0000972478849115,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R018,Gravity,True,4592,0.06042578125,46.1624365234375,46.1020107421875,99.58183409511379,0.01004052734375449,0.010042968749999992,1.0000972478849115,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R019,Accelerometer,True,5065,0.0587431640625,50.90946264648438,50.85071948242188,99.58425518465096,0.010040527343747385,0.010043212890622044,1.0001458753734815,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
